Year,geoid,type,name,centroid_lng,centroid_lat,bbox_arr
2021,3617882,place,"Constableville, NY",-75.428055,43.5648781,"{-75.442532,43.554153,-75.413524,43.575626}"
2021,3617893,place,"Constantia, NY",-76.0090243,43.2585596,"{-76.051545,43.242816,-75.969581,43.268121}"
2021,3618036,place,"Coopers Plains, NY",-77.1375226,42.1793453,"{-77.157705,42.172362,-77.119332,42.188117}"
2021,3618047,place,"Cooperstown, NY",-74.9306589,42.698875,"{-74.947044,42.689884,-74.913913,42.710662}"
2021,3618091,place,"Copake, NY",-73.5547145,42.1048418,"{-73.572092,42.092987,-73.538975,42.113177}"
2021,3618113,place,"Copake Falls, NY",-73.5247233,42.1202232,"{-73.531731,42.114623,-73.519401,42.126013}"
2021,3618124,place,"Copake Lake, NY",-73.5975793,42.1472422,"{-73.624365,42.097873,-73.555438,42.175785}"
2021,3618135,place,"Copenhagen, NY",-75.6726175,43.8934361,"{-75.686985,43.881929,-75.659195,43.905256}"
2021,3618146,place,"Copiague, NY",-73.3927609,40.6703578,"{-73.417716,40.6516,-73.364465,40.694113}"
2021,3618157,place,"Coram, NY",-73.0058823,40.8812363,"{-73.039113,40.837688,-72.972418,40.921093}"
2021,3618201,place,"Corfu, NY",-78.4026102,42.9611626,"{-78.417077,42.954331,-78.390028,42.967077}"
2021,3618212,place,"Corinth, NY",-73.8303482,43.2456617,"{-73.85053,43.237529,-73.809245,43.254955}"
2021,3618256,place,"Corning, NY",-77.0564013,42.1481948,"{-77.075799,42.131597,-77.029932,42.164366}"
2021,3618333,place,"Cornwall-on-Hudson, NY",-74.0151452,41.4335211,"{-74.027265,41.417958,-73.996258,41.452949}"
2021,3618388,place,"Cortland, NY",-76.1791268,42.6008656,"{-76.20049,42.585547,-76.154685,42.614509}"
2021,3618443,place,"Cortland West, NY",-76.2258528,42.5941865,"{-76.260987,42.57389,-76.195381,42.614954}"
2021,3618542,place,"Country Knolls, NY",-73.8073199,42.9087499,"{-73.836167,42.891015,-73.779631,42.924575}"
2021,3618597,place,"Cove Neck, NY",-73.4973041,40.8857809,"{-73.512167,40.869514,-73.487166,40.896298}"
